goos: darwin
goarch: arm64
pkg: lab4/concurrentmap
cpu: Apple M2 Pro
BenchmarkGrowthConcurrentMerge/N4096-12       	 1725202	       146.5 ns/op	     228 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N16384-12      	 1000000	       208.0 ns/op	     235 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N16384-12      	 1000000	       222.5 ns/op	     235 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N16384-12      	 1222922	       195.4 ns/op	     235 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N16384-12      	 1000000	       218.9 ns/op	     235 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N16384-12      	 1214661	       210.0 ns/op	     235 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N65536-12      	 1000000	       241.2 ns/op	     242 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N65536-12      	 1000000	       256.5 ns/op	     242 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N65536-12      	 1000000	       250.2 ns/op	     242 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N65536-12      	 1000000	       249.7 ns/op	     242 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N65536-12      	 1000000	       222.1 ns/op	     242 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N262144-12     	 1237358	       207.9 ns/op	     241 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N262144-12     	 1173612	       222.0 ns/op	     241 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N262144-12     	  888586	       234.4 ns/op	     241 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N262144-12     	 1185441	       226.0 ns/op	     241 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N262144-12     	 1102047	       202.7 ns/op	     241 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1048576-12    	 1251297	       273.8 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1048576-12    	 1155474	       216.8 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1048576-12    	 1097299	       197.2 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1048576-12    	 1044765	       213.5 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthConcurrentMerge/N1048576-12    	 1201243	       204.6 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthPlainMerge/N1024-12            	 8306492	        37.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1024-12            	 6929505	        38.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1024-12            	 7033920	        33.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1024-12            	 7945320	        31.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1024-12            	 6642892	        36.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N4096-12            	 6659444	        53.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N4096-12            	 6655368	        42.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N4096-12            	 6586070	        55.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N4096-12            	 5570986	        40.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N4096-12            	 4188313	        53.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N16384-12           	 5314054	        42.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N16384-12           	 5377020	        41.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N16384-12           	 5717102	        64.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N16384-12           	 5514124	        48.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N16384-12           	 5960160	        40.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N65536-12           	 5440382	        44.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N65536-12           	 5459906	        46.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N65536-12           	 4549000	        60.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N65536-12           	 5226897	        51.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N65536-12           	 5330800	        46.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N262144-12          	 4445778	        58.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N262144-12          	 3812905	        60.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N262144-12          	 4181430	        57.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N262144-12          	 4482504	        65.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N262144-12          	 4401884	        62.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1048576-12         	 3753718	        69.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1048576-12         	 2995603	        70.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1048576-12         	 4097199	        58.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1048576-12         	 4179288	        58.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainMerge/N1048576-12         	 4034593	        57.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelReadMostly-12                	14691066	        18.19 ns/op	      15 B/op	       0 allocs/op
BenchmarkParallelReadMostly-12                	13965633	        17.04 ns/op	      15 B/op	       0 allocs/op
BenchmarkParallelReadMostly-12                	13940892	        19.31 ns/op	      15 B/op	       0 allocs/op
BenchmarkParallelReadMostly-12                	13967156	        17.51 ns/op	      15 B/op	       0 allocs/op
BenchmarkParallelReadMostly-12                	15510513	        15.49 ns/op	      15 B/op	       0 allocs/op
BenchmarkParallelBalanced-12                  	 2485462	        87.43 ns/op	     120 B/op	       1 allocs/op
BenchmarkParallelBalanced-12                  	 2475678	        97.22 ns/op	     120 B/op	       1 allocs/op
BenchmarkParallelBalanced-12                  	 2639616	        91.56 ns/op	     120 B/op	       1 allocs/op
BenchmarkParallelBalanced-12                  	 2732293	        87.54 ns/op	     120 B/op	       1 allocs/op
BenchmarkParallelBalanced-12                  	 2661846	        92.94 ns/op	     120 B/op	       1 allocs/op
PASS
ok  	lab4/concurrentmap	149.267s
